Designator,Mid X,Mid Y,Rotation,Layer
,148.505942,-136.042,0.0,top
C1,142.888,-54.0959,270.0,top
C10,148.8948,-56.134,180.0,top
C11,150.1648,-64.3128,270.0,top
C12,155.2956,-53.594,90.0,top
C13,155.2956,-64.8208,270.0,top
C14,161.828,-54.324,90.0,top
C15,151.2316,-54.1528,90.0,top
C16,150.3172,-54.1528,90.0,top
C2,164.348,-53.024,180.0,top
C3,161.148,-50.374,90.0,top
C4,147.688,-54.0959,270.0,top
C5,147.9296,-59.9948,270.0,top
C6,142.494,-58.7756,180.0,top
C7,160.798,-54.324,90.0,top
C8,148.8948,-57.0992,180.0,top
C9,142.494,-57.8104,180.0,top
D1,136.8839,-38.5976,180.0,top
D10,26.9113,-83.094284,270.0,top
D11,26.9113,-95.467712,270.0,top
D12,26.9113,-107.84114,270.0,top
D13,26.9113,-120.214568,270.0,top
D14,26.9113,-132.588,270.0,top
D15,269.2276,-132.588,90.0,top
D16,269.2276,-120.214568,90.0,top
D17,269.2276,-107.84114,90.0,top
D18,269.2276,-95.467712,90.0,top
D19,269.2276,-83.094284,90.0,top
D20,269.2276,-70.720856,90.0,top
D21,269.2276,-58.347428,90.0,top
D22,269.2276,-45.974,90.0,top
D23,261.324685,-38.56086,180.0,top
D24,240.0147,-38.5976,180.0,top
D25,214.122,-38.585708,180.0,top
D26,187.4807,-38.5976,180.0,top
D28,159.5628,-38.620307,180.0,top
D3,109.111348,-38.578555,180.0,top
D4,82.6803,-38.5976,180.0,top
D5,56.2864,-38.5976,180.0,top
D6,34.8556,-38.5976,180.0,top
D7,26.9113,-45.974,270.0,top
D8,26.9113,-58.347428,270.0,top
D9,26.9113,-70.720856,270.0,top
R1,137.668,-60.198,270.0,top
R10,248.906,-47.73,270.0,top
R11,247.916,-47.69,270.0,top
R2,136.7028,-59.5884,270.0,top
R3,146.304,-58.0136,0.0,top
R4,146.304,-57.0484,0.0,top
R5,162.848,-53.474,270.0,top
R6,144.493449,-46.396887,180.0,top
R7,152.5504,-46.3296,0.0,top
R8,246.196,-46.37,180.0,top
R9,249.936,-47.72,270.0,top
SW0-1,116.18,-44.45,90.0,top
SW0-2,126.098223,-44.45,90.0,top
SW0-3,169.53,-44.45,90.0,top
SW0-4,179.39,-44.438156,90.0,top
SW1-1,42.266,-65.25,0.0,top
SW1-2,67.666,-51.026,0.0,top
SW1-3,97.042,-51.026,0.0,top
SW1-4,122.784,-65.25,0.0,top
SW1-5,148.185989,-79.94,0.0,top
SW1-6,173.496,-65.25,0.0,top
SW1-7,199.15,-51.026,0.0,top
SW1-8,228.36,-51.026,0.0,top
SW1-9,253.76,-65.25,0.0,top
SW18,136.8044,-42.8244,180.0,top
SW19,136.8552,-49.6316,0.0,top
SW2-1,42.266,-94.52,0.0,top
SW2-2,67.666,-80.699061,0.0,top
SW2-3,97.042,-80.699061,0.0,top
SW2-4,122.784,-94.52,0.0,top
SW2-5,148.134929,-108.5388,0.0,top
SW2-6,173.496,-94.52,0.0,top
SW2-7,199.15,-80.699061,0.0,top
SW2-8,228.36,-80.699061,0.0,top
SW2-9,253.76,-94.52,0.0,top
SW20,159.5628,-43.0276,180.0,top
SW3-5,127.308938,-128.554,0.0,top
SW3-7,168.968938,-128.554,0.0,top
U1,145.288,-54.5959,180.0,top
U2,142.8056,-62.548,270.0,top
U3,154.055674,-59.217557,90.0,top
USB1,148.535995,-37.306,180.0,top
USB2,248.666,-37.2075,180.0,top
Y1,163.498,-50.374,90.0,top
